단어,개체명 인식,id,Unnamed: 3
주셔서,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
정말,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
감사합니다?,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
영상,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
편하게,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
봐주시고,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
좋은,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
하루,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
되세요,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
?,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
경주,B_LOC,053A9pQj5Ik,
먹방여행,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
#,O,053A9pQj5Ik,
직장,O,053A9pQj5Ik,
인다이어트,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
#유지어터,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
#먹방일기,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
#,O,053A9pQj5Ik,
경주,B_LOC,053A9pQj5Ik,
lover,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
#,O,053A9pQj5Ik,
경주,B_LOC,053A9pQj5Ik,
찐맛집,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
#운동하고먹고,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
#일상,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
#vlog,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
#,O,053A9pQj5Ik,
직장인,O,053A9pQj5Ik,
출근룩,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
#데일리룩,O,053A9pQj5Ik,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
#,O,iS-jh6XIDHE,
경주,B_LOC,iS-jh6XIDHE,
 ,O,iS-jh6XIDHE,
#여행,O,iS-jh6XIDHE,
 ,O,iS-jh6XIDHE,
#,O,iS-jh6XIDHE,
신혼부부,O,iS-jh6XIDHE,
 ,O,iS-jh6XIDHE,
#브이로그,O,iS-jh6XIDHE,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
"안녕하세요,",O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
션,O,Fqg_QACPL7A,
입니다.,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
국내에서,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
풀빌라,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
첫경험,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
??,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
전,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
회사,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
후배,O,Fqg_QACPL7A,
이자,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
지금은,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
절친,O,Fqg_QACPL7A,
인,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
현숙 슨배,O,Fqg_QACPL7A,
와,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
함께,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
다녀온,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
경주,B_LOC,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
여행,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
브이로그,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
재미있게,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
봐주세요,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
:),O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
풀,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
빌라,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
정보,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
:,O,Fqg_QACPL7A,
 ,O,Fqg_QACPL7A,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
#국내여행,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
#,O,m3MpGZZRgLA,
일본인,O,m3MpGZZRgLA,
반응,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
#,O,m3MpGZZRgLA,
경주,B_LOC,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
안녕하세요,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
레이짱,O,m3MpGZZRgLA,
입니다!,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
???♀,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
구독과,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
"좋아요,",O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
알림설정까지!,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
예쁜,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
댓글,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
항상,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
감사합니다!,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
보고,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
싶은,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
콘텐츠가,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
있으면,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
댓글로,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
남겨주세요,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
??,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
아프리카TV,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
방송국,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
https://,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
[Music,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
Copyright],O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
??,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
Music,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
provided,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
by,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
브금저장소,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
[BGM,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
Storage],O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
??,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
Track:,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
우리집 댕댕이,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
-,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
s://,O,m3MpGZZRgLA,
youtu.be/n5GH_3vkwY0,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
??Music,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
provided,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
by,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
브금,O,m3MpGZZRgLA,
대통령,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
??Track,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
:,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
수양놀음,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
-,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
Kevin MacLeod,O,m3MpGZZRgLA,
의,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
Hammock Fight,O,m3MpGZZRgLA,
에는,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
크리에이티브 커먼즈,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
저작자,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
표시,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
4,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
라이선스가,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
적용됩니다.,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
https://,O,m3MpGZZRgLA,
/,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
출처:,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
://,O,m3MpGZZRgLA,
?isrc=USUAN1100213,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
아티스트,O,m3MpGZZRgLA,
:,O,m3MpGZZRgLA,
 ,O,m3MpGZZRgLA,
://,O,m3MpGZZRgLA,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
#,O,tA4Ji1wfbA4,
경주,B_LOC,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
#여행,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
#브이로그,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
*,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
경주,B_LOC,tA4Ji1wfbA4,
여행,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
일정,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
:,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
2021,O,tA4Ji1wfbA4,
. 03. 23(화) ~,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
25(목),O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
2박3일,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
*,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
숙소,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
:,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
GG관광호텔,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
?,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
1day,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
1,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
십원빵,B_CAF,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
2,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
엘,B_CAF,tA4Ji1wfbA4,
도라도,I_CAF,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
3,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
함양집,B_RES,tA4Ji1wfbA4,
(,O,tA4Ji1wfbA4,
육회물회,O,tA4Ji1wfbA4,
",",O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
치즈불고기,O,tA4Ji1wfbA4,
),O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
4,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
동궁,B_TOR,tA4Ji1wfbA4,
과,I_TOR,tA4Ji1wfbA4,
월지,I_TOR,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
?,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
2day,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
2,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
3,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
감은사지삼층석탑,B_TOR,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
4,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
장군암소,B_RES,tA4Ji1wfbA4,
숯불,I_RES,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
?,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
3day,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
1,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
삼천리자전거,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
2,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
면미소,B_RES,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
3,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
첨성대,B_TOR,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
4,O,tA4Ji1wfbA4,
.,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
불국사,B_TOR,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
??,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
bgm,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
?,O,tA4Ji1wfbA4,
s://,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
?Music,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
provided,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
by,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
브금,O,tA4Ji1wfbA4,
대통령,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
The Walking Cat,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
-,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
://,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
말괄량이의,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
하루,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
-,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
s://,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
?Video,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
Source,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
Support,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
eeticon,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
-,O,tA4Ji1wfbA4,
 ,O,tA4Ji1wfbA4,
http,O,tA4Ji1wfbA4,
s://,O,tA4Ji1wfbA4,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
#,O,Ph9aPIdkhLY,
경주,B_LOC,Ph9aPIdkhLY,
여행,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
#,O,Ph9aPIdkhLY,
교리,B_RES,Ph9aPIdkhLY,
김밥,I_RES,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
#,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
경주,B_LOC,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
여행,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
중,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
음식이,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
모두,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
맛있어서,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
만족이었어요.,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
무슨,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
맛집에,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
김밥,O,Ph9aPIdkhLY,
이야,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
이럴,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
수도,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
있지만...,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
ㅎㅎ,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
경주,B_LOC,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
교리김밥,B_RES,Ph9aPIdkhLY,
은,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
정말,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
맛있더라고요.,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
달걀,O,Ph9aPIdkhLY,
이,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
많아서,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
담백해요^^,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
코모도 호텔,O,Ph9aPIdkhLY,
은,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
경주,B_LOC,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
보문관광단지,B_TOR,Ph9aPIdkhLY,
에,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
오래된,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
호텔이에요,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
많이,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
오래돼서,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
실내,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
인테리어가,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
많이,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
올드했지만,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
관리를,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
잘하고,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
있어서,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
가족,O,Ph9aPIdkhLY,
단위로,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
많이,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
숙박하더라고요.,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
저는,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
문,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
등,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
때문에,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
조금,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
살벌하게,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
무서운,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
기억도,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
있지만,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
가성비,O,Ph9aPIdkhLY,
 ,O,Ph9aPIdkhLY,
만족했습니다,O,Ph9aPIdkhLY,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
문화재여행,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
길잡이,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
채널입니다,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
??,O,YsfY7ZrZA6M,
문화야놀자TV,O,YsfY7ZrZA6M,
는,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
누구나,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
쉽게,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
역사유적지에,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
대해,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
흥미를,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
가질수,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
수,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
있도록,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
전문적이지,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
않은,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
일반적인,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
내용을,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
재밌는,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
설화와,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
문화재,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
설명으로,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
간단하게,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
풀어놨습니다,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
여행을,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
갈때,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
친구,O,YsfY7ZrZA6M,
중에,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
누군가는,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
가이드,O,YsfY7ZrZA6M,
가,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
되어,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
준다면,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
더,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
유익한,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
여행이,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
되겠지요?,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
??,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
사진만,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
찍고,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
오는,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
여행에서,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
업그레이드,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
하세요~~~,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
??최대한,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
쉽게,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
전달되기,O,YsfY7ZrZA6M,
 ,O,YsfY7ZrZA6M,
